기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2020/05,합계,합계,합계,합계,23250,36453.382,600,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,17320.617563002248,1203.2939999999996,126797.77756300224
2020/04,합계,합계,합계,합계,23250,36453.382,600,1459.3,1596.3,465.8,39573.467,175.61699999999993,0,4700,16800.875199002014,1187.2939999999996,126262.035199002
2020/03,합계,합계,합계,합계,23250,36441.782,600,1470.8999999999999,1596.3,465.8,39573.467,175.61699999999993,0,4700,16415.895006002425,1197.5919999999996,125887.35300600242
2020/02,합계,합계,합계,합계,23250,36441.782,600,1470.8999999999999,1596.3,465.8,39573.467,175.61699999999993,0,4700,16415.895006002425,1197.5919999999996,125887.35300600242
2020/01,합계,합계,합계,합계,23250,36441.782,600,1470.8999999999999,1596.3,465.8,39573.467,175.61699999999993,0,4700,15905.83649800228,1178.3919999999996,125358.09449800226
2019/12,합계,합계,합계,합계,23250,36391.782,600,2870.9,196.3,559.523,39459.09999999999,340.61699999999996,0,4700,15791.053338002277,1178.3919999999996,125337.66733800224
2019/11,합계,합계,합계,합계,23250,36391.782,600,2870.9,196.3,664.523,39333.45599999999,339.4699999999999,0,4700,14896.54583600187,1149.2019999999998,124392.17883600185
2019/10,합계,합계,합계,합계,23250,36391.782,600,2870.9,196.3,664.523,38964.282999999996,339.4699999999999,0,4700,14896.54583600187,1149.2019999999998,124023.00583600186
2019/09,합계,합계,합계,합계,23250,36391.78200000001,600,2870.9,196.3,758.246,38007.259999999995,339.47,0,4700,15294.954013999999,81.49,122490.402014
2019/08,합계,합계,합계,합계,23250,36391.78200000001,600,2870.9,196.3,758.246,38007.259999999995,339.47,0,4700,15777.886109,81.49,122973.334109
2019/07,합계,합계,합계,합계,21850,36391.78200000001,600,2970.9,196.3,758.246,38007.259999999995,339.47,0,4700,15251.578950999998,81.49,121147.02695099999
2019/06,합계,합계,합계,합계,21850,36391.782,600,2970.9,196.3,758.246,38007.259999999995,339.4699999999999,0,4700,15251.578951001416,81.49,121147.0269510014
2019/05,합계,합계,합계,합계,21850,36391.777,600,3045.9,196.3,758.246,37638.087,339.4699999999999,0,4700,14229.4139190013,76.7,119825.8939190013
2019/04,합계,합계,합계,합계,21850,36391.777,600,3045.9,196.3,758.246,37638.087,339.4699999999999,0,4700,14229.4139190013,76.7,119825.8939190013
2019/03,합계,합계,합계,합계,21850,36391.777,600,3045.9,196.3,758.246,37638.087,339.4699999999999,0,4700,14229.4139190013,76.7,119825.8939190013
2019/02,합계,합계,합계,합계,21850,36391.777,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,13578.881769999998,76.7,119350.36176999999
2019/01,합계,합계,합계,합계,21850,36391.777,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,13578.881769999998,76.7,119350.36176999999
2018/12,합계,합계,합계,합계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,13413.218668,76.7,119091.658668
2018/11,합계,합계,합계,합계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,12587.350804,76.7,118265.790804
2018/10,합계,합계,합계,합계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,12317.564073999998,76.7,117996.004074
2018/09,합계,합계,합계,합계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,12317.564073999998,76.7,117996.004074
2018/08,합계,합계,합계,합계,21850,36298.737,600,3220.9,196.3,758.246,37638.087,339.47,0,4700,12317.364074,76.7,117995.804074
2018/07,합계,합계,합계,합계,21850,36298.737,600,3237.2,196.3,664.523,37638.087,339.47,0,4700,11875.526587999999,76.7,117476.543588
2018/06,합계,합계,합계,합계,21850,36205.702000000005,600,3237.2,196.3,664.523,37638.087,339.47,0,4700,11694.488776,78.42,117205.126776
2018/05,합계,합계,합계,합계,22528.683,36205.702000000005,600,3237.2,196.3,570.8,37638.087,339.47,0,4700,11695.424776,78.42,117790.086776
2018/04,합계,합계,합계,합계,22528.683,36037.802,600,3237.2,196.3,570.8,37156.397,339.47,0,4700,11298.704867999999,81.51,116746.86686800001
2018/03,합계,합계,합계,합계,22528.683,36037.802,600,3237.2,196.3,570.8,37156.397,339.47,0,4700,11298.704867999999,81.51,116746.86686800001
2018/02,합계,합계,합계,합계,22528.683,36097.802,600,3240.2999999999997,196.3,570.8,37156.397,339.47,0,4700,10976.378363,21.51,116427.64036299998
2018/01,합계,합계,합계,합계,22528.683,36097.802,600,3240.2999999999997,196.3,570.8,37156.397,339.47,0,4700,10976.378363,21.51,116427.64036299998
2017/12,합계,합계,합계,합계,22528.683,36097.802,600,3240.2999999999997,196.3,570.8,37636.397,339.47,0,4700,10976.378363,21.51,116907.64036299998
2016/12,합계,합계,합계,합계,23115.683,30898.424,1125,3240.2999999999997,470.3,570.8,32131.801,329.44,0,4700,9283.808674,0,105865.55667399999
2015/12,합계,합계,합계,합계,21715.683,26201.91,1125,3342.1,547.8,570.8,31695.701,329.69,0,4700,7420.076236999999,0,97648.76023700001
2014/12,합계,합계,합계,합계,20715.683,25910.51,1125,3354.5,523.8,570.8,29744.89,329.69,0,4700,6240.881376,0,93215.754376
2013/12,합계,합계,합계,합계,20715.683,24110.51,1125,4354.5,1023.8,570.8,24765.79,329.69,0,4700,5273.163656000001,0,86968.936656
2012/12,합계,합계,합계,합계,20715.683,24003.109999999997,1125,4354.5,1023.8,570.8,20861.263,367.34000000000003,0,4700,4084.0795339999995,0,81805.57553399999
