기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,합계
2015/06,46.42496669,76.13985273,97.56937512,77.00146393,193.95196838,107.44311189,141.41059868,134.0499386,0,459.6504377,95.1981382,95.9177858,82.1787353,105.4642401,97.2242989,133.1343825,82.78688525,76.53708432
2015/05,46.09383814,51.89822958,104.65298709,53.8223579,132.6054599,105.81189197,122.65539607,98.482715,0,99.7566696,103.659371,101.5275676,95.4239733,103.5455749,98.4538339,99.6726045,95.62923888,65.47015264
2015/04,50.0235759,54.08045905,112.45311935,56.10181859,129.32599779,113.94793352,130.09017306,121.1135138,0,145.8354702,109.0584152,109.1585991,103.2841614,149.0300516,99.2132486,108.7857949,102.71493213,70.72086522
2015/03,62.34463217,64.92289542,134.23203696,67.52145544,145.08296889,142.12556932,145.68658243,123.5058801,0,153.0227093,118.291241,130.4646802,118.1807103,118.0776247,101.3351949,114.0827094,117.79744346,88.73374275
2015/02,64.90546482,67.43956122,143.15184249,70.16891884,182.0172113,153.34391077,160.31808625,118.5077693,0,245.9985267,127.4974979,138.9336418,112.5170674,193.5742797,99.0787965,122.7986599,116.69941061,92.78241573
2015/01,76.56840959,73.84935601,164.3736242,77.14358133,214.86128663,169.66174905,179.2937291,140.1312892,0,142.0864711,146.7581384,160.9104086,140.1279575,140.2961782,106.5225753,124.2487614,139.43789665,104.22782561
2014/12,44.34461076,62.89287502,92.71964321,64.03097709,203.28704687,159.0671703,167.13194327,147.5366656,0,213.3768809,149.0109883,155.1429518,143.3945821,216.438575,130.89818,144.8386035,142.95366795,89.9383922
2014/11,52.85629378,65.89022694,89.90670848,66.90985843,243.615897,148.97469466,153.17896928,170.4344157,0,146.4387174,144.5534844,141.916235,132.828115,133.1052375,123.3074701,132.7903107,132.68450933,88.07471337
2014/10,52.17421426,63.99527541,90.65210828,64.89543256,280.98746076,148.68646042,147.8492607,161.4889269,0,219.0904771,145.7302001,140.3382419,131.2390336,131.5459121,122.1831948,136.6490654,131.37614679,85.83666765
2014/09,49.92178616,64.25722387,91.67868727,65.27079027,233.18906045,154.73598973,154.81854029,128.3049622,0,171.8900677,149.5646721,139.5955913,123.0554633,128.4351863,94.4694726,113.8682099,136.73469388,86.13366193
2014/08,54.56709575,62.34650782,90.99789334,63.43582167,345.45043412,166.53128794,161.70948477,176.0742197,0,145.7949017,140.2772237,145.7899805,121.546275,126.4205328,90.7205206,113.7245136,127.88732394,83.86576791
2014/07,58.94875987,65.26974523,96.64169845,66.47425567,221.78182052,172.5259161,181.25212207,140.307393,0,250.6449001,148.8306462,164.8609629,136.5287113,140.5426101,94.8382189,125.1811459,147.39884393,93.27167505
2014/06,52.87215004,74.96665344,83.85882811,75.33375179,210.17114184,158.44389434,164.1142545,202.403315,0,587.7630954,145.6541523,149.4511073,132.9184358,231.0995941,93.302092,153.5834659,141.29213483,90.98881038
2014/05,55.35317858,61.55133148,82.86861851,62.35386405,210.00273012,160.38605152,172.66366492,143.0712619,0,149.8514971,150.4273345,156.4653543,142.0351034,143.5508101,97.9883891,121.9115488,146.35364635,85.90452792
2014/04,57.49358965,63.206557,88.11975553,64.27387885,219.92270062,161.30110009,180.6070442,159.5384796,0,167.2088235,163.3447891,163.3900327,149.0946171,149.9541248,98.8297154,125.2036885,148.34874505,90.37359544
2014/03,61.37187646,66.19281302,95.15044535,67.36227407,201.12217453,173.00908515,198.05244629,169.2775338,0,169.9400102,173.3628398,180.3732538,160.8581975,206.1338133,101.2028127,134.4354097,162.10902592,100.00938708
