기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_폐기물,신재생_계,기타,배출권거래비용정산금,전력시장_계,PPA_계,전력시장+PPA_계
2023/04,4777.90503248,18366.70594997,37.40294085,18404.10889082,177.04852592,22836.802270859996,705.25488279,674.8583792800001,0,1402.5712423400096,538.0741231399999,322.66942639999996,55.82057898,1587.31474409,0,4581.308494230009,326.938,0,51809.3661431,2985.121,54794.4871431
2023/03,7313.342796949999,21413.69491662,391.59719450000006,21805.292111119998,330.42736535000006,37263.06700277999,1084.72193109,1053.9852429900002,0,2042.502712570002,605.4325505500002,432.8994271099997,78.96180297999999,2099.2631983200004,0,6313.044934520002,614.1592,0,74724.05533872999,4314.187,79038.24233873
2023/02,5660.4121246,22716.448526589997,387.39918581,23103.8477124,326.49215882000004,38625.74591868999,655.0290085199999,1088.03963631,0,1188.7865507500042,452.77749875,291.6685179600001,57.03297337000001,1745.00914081,0,4823.314317950005,355.9117,0,73550.75289447996,3153.352,76704.10489447995
2023/01,6551.026200139999,26811.382979849997,396.88133004,27208.264309889997,482.18003410999995,41925.14660305001,763.50829381,1113.8807870899996,77.54998293,963.9877666500024,703.5476388299999,353.27825529,59.018587149999995,2212.46556878,0,5483.728586720003,347.3357,0,82761.18975060998,2642.498,85403.68775060998
2022/12,7313.426720930001,29141.819570650012,432.90787907,29574.727449720012,425.08885543,48791.68997340001,901.6817367500001,763.16311318,246.46761093,727.1035789600035,757.6332994299999,362.7967950200002,57.986702859999994,2045.7801987399996,0,4960.931299120004,332.3101,0,92299.85617261003,2124.497,94424.35317261003
2022/11,6523.516915159999,25303.093567899992,319.70164014,25622.795208039992,228.03080020999997,36383.34494242,988.0406207,1048.4754488999997,0,1473.1772914899943,604.7061583899999,556.6873080599999,82.09113547999999,2448.0356241899995,0,6213.172966509994,356.8138,0,76315.71530497,3056.825,79372.54030497
2022/10,6619.72944087,24703.04998589,462.24565650999995,25165.2956424,185.95069365,33750.97283633999,1018.9044993700002,1095.68767744,192.24695136,2082.5292481799993,625.5352453399998,670.2369319599998,96.79425721,2445.8937376800004,0,7208.924049169998,562.9571,0,74512.73419879997,4252.6,78765.33419879997
2022/09,6476.65169968,27116.91056788999,345.30329253,27462.21386041999,199.72490634,32364.497836000002,1019.49848902,969.0989963600001,391.80883574,1706.1601278100038,524.4372866699999,1154.5045617400003,88.39173857,2248.2295940999998,0,7082.6311409900045,347.9359,0,74953.15377547001,3730.875,78684.02877547001
2022/08,9431.77691721,33887.742859779995,525.6516403,34413.394500079994,217.24436402,35398.12234977001,1236.50414739,833.12378622,405.20625754,1367.2096495799988,486.0833946800001,1496.5014933799998,71.84130054,2269.2770037600003,0,6929.2428856999995,362.8135,0,87989.09863906,2834.89,90823.98863906
2022/07,7581.378284140001,27933.83067925999,406.41030677000003,28340.240986029992,339.81870913,28671.05709157001,838.8630582000001,617.8633193600001,303.43496787,1162.965191710005,228.30811651,685.3589007099997,51.90186233,1464.68998097,8.16515832,4522.687497780005,222.167,0,70516.21264114996,2596.631,73112.84364114996
2022/06,5388.630336629999,18693.57773626,186.85646112000003,18880.43419738,204.95448173,18999.170960079995,465.58935827999994,521.90972966,122.15304199,949.05808185,347.80182871,385.42686151000004,28.49190927,1102.9427806699998,0,3457.78423366,178.1394,0,47574.70293847999,2216.433,49791.13593847999
2022/05,5477.630170349999,16644.04656976,210.24777837,16854.294348130003,102.75765492999999,19136.504117170007,490.78725093,648.95325077,8.05700409,1394.778608459998,367.92541346999997,350.0855970800001,52.54829482,1484.8024926300004,0,4307.150661319998,204.1259,3408.83812864,49982.0882605,3315.529,53297.6172605
2022/04,6798.999473239999,20439.415433630005,448.0660978899999,20887.481531520007,197.63537082000002,29006.514195999996,633.27593135,902.78677443,252.25268868,1744.5813909699982,532.81861414,423.73325670000037,75.98103757,1494.4661221000001,0,5426.619884589999,303.1448,0,63253.671223159996,4073.564,67327.23522316
2022/03,7823.776250900001,19526.44802626,18.00229774,19544.450324,301.37142928,35634.89827294999,777.06995246,871.9687572900003,366.06265095000003,1318.5770870500046,596.7923389100001,415.76598089000026,52.66418292,1385.97945127,0,5007.810449280006,349.7507,0,69439.12729198,2952.859,72391.98629197999
